Date,Open,High,Low,Close,Adj Close,Volume
2014-07-30,197.649994,197.910004,196.160004,196.979996,162.846695,104222000
2014-07-31,195.610001,195.779999,192.970001,193.089996,159.630737,183479000
2014-08-01,192.559998,193.759995,191.570007,192.500000,159.142990,189261000
2014-08-04,192.869995,194.300003,192.050003,193.889999,160.292130,91340000
2014-08-05,193.100006,193.600006,191.309998,192.009995,158.737869,152690000
2014-08-06,191.110001,192.889999,191.080002,192.070007,158.787491,94818000
2014-08-07,192.940002,193.130005,190.550003,191.029999,157.927719,135733000
2014-08-08,191.460007,193.369995,190.949997,193.240005,159.754745,117014000
2014-08-11,193.970001,194.660004,193.710007,193.800003,160.217697,74544000
2014-08-12,193.610001,194.149994,192.940002,193.529999,159.994522,73632000
2014-08-13,194.289993,195.059998,193.960007,194.839996,161.077515,69047000
2014-08-14,195.160004,195.759995,194.979996,195.759995,161.838089,57371000
2014-08-15,196.470001,196.649994,194.309998,195.720001,161.805023,139951000
2014-08-18,196.800003,197.449997,196.690002,197.360001,163.160843,75424000
2014-08-19,197.839996,198.539993,197.440002,198.389999,164.012299,59135000
2014-08-20,198.119995,199.160004,198.080002,198.919998,164.450485,72763000
2014-08-21,199.089996,199.759995,198.929993,199.500000,164.929977,67791000
2014-08-22,199.339996,199.690002,198.740005,199.190002,164.673752,76107000
2014-08-25,200.139999,200.589996,199.149994,200.199997,165.508713,63855000
2014-08-26,200.330002,200.820007,200.279999,200.330002,165.616196,47298000
2014-08-27,200.429993,200.570007,199.940002,200.250000,165.550034,47874000
2014-08-28,199.589996,200.270004,199.389999,200.139999,165.459106,58330000
2014-08-29,200.449997,200.729996,199.820007,200.710007,165.930359,65907000
2014-09-02,200.970001,201.000000,199.860001,200.610001,165.847672,72426000
2014-09-03,201.380005,201.410004,200.220001,200.500000,165.756714,57462000
2014-09-04,200.839996,201.580002,199.660004,200.210007,165.516953,85236000
2014-09-05,200.169998,201.190002,199.410004,201.110001,166.261063,102177000
2014-09-08,200.919998,201.210007,200.000000,200.589996,165.831146,64146000
2014-09-09,200.410004,200.550003,198.910004,199.320007,164.781219,88591000
2014-09-10,199.429993,200.199997,198.770004,200.070007,165.401215,67251000
2014-09-11,199.270004,200.330002,199.119995,200.300003,165.591370,66774400
2014-09-12,200.100006,200.119995,198.559998,199.130005,164.624161,117409300
2014-09-15,199.160004,199.320007,198.380005,198.979996,164.500107,76401000
2014-09-16,198.610001,200.839996,198.500000,200.479996,165.740143,116201000
2014-09-17,200.770004,201.679993,199.750000,200.750000,165.963379,151266000
2014-09-18,201.360001,201.850006,201.100006,201.820007,166.847992,94990000
2014-09-19,201.520004,201.899994,200.289993,200.699997,166.697662,121649000
2014-09-22,200.350006,200.380005,198.729996,199.149994,165.410309,125553000
2014-09-23,198.429993,199.259995,197.949997,198.009995,164.463409,111393000
2014-09-24,198.039993,199.690002,197.520004,199.559998,165.750809,107276000
2014-09-25,199.039993,199.050003,196.270004,196.339996,163.076385,150300000
2014-09-26,196.699997,198.389999,196.419998,197.899994,164.372040,103547000
2014-09-29,196.199997,197.889999,196.050003,197.539993,164.072983,95112000
2014-09-30,197.690002,198.300003,196.610001,197.020004,163.641098,131302000
2014-10-01,196.699997,196.770004,193.910004,194.350006,161.423447,177798000
2014-10-02,194.179993,195.059998,192.350006,194.380005,161.448395,157285000
2014-10-03,195.679993,196.940002,195.080002,196.520004,163.225830,121569000
2014-10-06,197.339996,197.600006,195.580002,196.289993,163.034821,104778000
2014-10-07,195.279999,195.720001,193.220001,193.259995,160.518112,147913000
2014-10-08,193.369995,196.919998,192.360001,196.639999,163.325516,186461000
2014-10-09,196.330002,196.600006,192.580002,192.740005,160.086227,210705000
2014-10-10,192.690002,193.649994,190.490005,190.539993,158.258926,221909000
2014-10-13,190.460007,191.149994,187.300003,187.410004,155.659180,230939000
2014-10-14,188.419998,189.820007,187.039993,187.699997,155.900116,215847000
2014-10-15,185.160004,187.690002,181.919998,186.429993,154.845200,380715000
2014-10-16,183.059998,187.580002,182.889999,186.270004,154.712387,270391000
2014-10-17,188.419998,189.750000,187.619995,188.470001,156.539642,214625000
2014-10-20,188.130005,190.449997,188.070007,190.300003,158.059662,130011000
2014-10-21,191.679993,194.199997,191.479996,194.070007,161.190872,154949000
2014-10-22,194.410004,194.910004,192.610001,192.690002,160.044739,151822000
2014-10-23,194.619995,196.199997,194.259995,194.929993,161.905167,154944000
2014-10-24,195.250000,196.490005,194.490005,196.429993,163.151108,117927000
2014-10-27,195.729996,196.449997,195.029999,196.160004,162.926804,82954000
2014-10-28,196.820007,198.419998,196.729996,198.410004,164.795609,106736000
2014-10-29,198.550003,199.119995,196.800003,198.110001,164.546494,142557000
2014-10-30,197.580002,199.949997,197.399994,199.380005,165.601273,113330000
