Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,10.090000,12.850000,9.840000,11.430000,7.705225,718500
2020-09-01,11.240000,12.470000,10.460000,11.920000,8.355262,264600
2020-10-01,11.930000,12.980000,11.540000,12.250000,8.586575,161100
2020-11-01,12.450000,17.389999,12.260000,14.150000,9.918372,720600
2020-12-01,14.140000,15.950000,13.360000,13.750000,9.903907,410400
2021-01-01,13.880000,17.000000,13.760000,15.610000,11.243637,337300
2021-02-01,15.570000,19.520000,15.570000,17.629999,12.698613,395000
2021-03-01,17.510000,19.500000,14.220000,16.129999,11.911901,476200
2021-04-01,16.160000,18.900000,15.170000,16.840000,12.436234,434800
2021-05-01,17.219999,19.250000,17.110001,18.340000,13.543972,588000
2021-06-01,18.340000,21.900000,18.340000,21.200001,16.043594,553300
2021-07-01,21.240000,22.160000,19.490000,21.559999,16.316031,203900
2021-08-01,21.620001,22.610001,20.000000,20.600000,15.589526,406100
2021-09-01,20.450001,24.059999,19.900000,23.660000,18.291145,434100
2021-10-01,23.690001,34.919998,23.690001,31.190001,24.112465,997300
2021-11-01,31.299999,33.950001,28.410000,32.619999,25.217966,560700
2021-12-01,32.880001,33.580002,29.250000,33.419998,26.218628,437200
2022-01-01,33.740002,39.480000,32.380001,37.410000,29.348869,944600
2022-02-01,37.500000,39.639999,35.119999,36.380001,28.540810,658000
2022-03-01,36.910000,44.400002,34.830002,42.740002,33.935200,985400
2022-04-01,42.470001,48.880001,40.310001,47.299999,37.555790,740800
2022-05-01,46.279999,50.820000,45.959999,47.720001,37.889271,615200
2022-06-01,48.299999,49.439999,36.500000,37.230000,30.020081,667300
2022-07-01,37.480000,42.700001,36.209999,40.540001,32.689060,216400
2022-08-01,40.610001,46.580002,39.189999,43.310001,34.922623,360500
2022-09-01,43.509998,50.189999,40.290001,44.250000,36.300045,693500
2022-10-01,44.349998,44.950001,37.610001,42.500000,34.864452,661300
2022-11-01,42.500000,46.500000,40.639999,42.139999,34.569130,633800
2022-12-01,42.340000,54.330002,42.330002,54.330002,45.319904,761900
2023-01-01,54.500000,54.980000,47.049999,54.189999,45.203114,765700
2023-02-01,54.000000,57.299999,52.549999,56.610001,47.221779,510800
2023-03-01,56.250000,65.720001,50.660000,52.200001,44.156425,667700
2023-04-01,52.450001,54.480000,51.340000,52.060001,45.959572,202100
2023-05-01,52.419998,52.430000,44.680000,45.070000,39.788666,429200
2023-06-01,44.759998,53.500000,44.759998,52.740002,47.249187,423600
2023-07-01,52.610001,63.540001,52.099998,63.400002,56.799362,306500
2023-08-01,63.189999,69.400002,61.020000,64.430000,57.722118,934100
2023-09-01,65.209999,81.480003,64.250000,78.870003,71.471054,909800
2023-10-01,77.650002,78.959999,65.000000,66.000000,59.808411,477300
2023-11-01,65.750000,79.650002,65.750000,76.260002,69.105896,354500
2023-12-01,77.080002,93.449997,76.930000,92.559998,84.762039,317600
2024-01-01,92.559998,102.000000,88.879997,97.250000,89.056931,493900
2024-02-01,98.320000,100.000000,83.610001,91.449997,83.745552,474200
2024-03-01,92.000000,96.000000,85.019997,92.000000,84.994423,597000
2024-04-01,92.800003,93.959999,85.500000,90.000000,85.497856,610900
2024-05-01,91.489998,93.040001,88.070000,90.349998,85.830338,638300
2024-06-01,90.349998,96.949997,88.580002,89.639999,85.869362,396100
2024-07-01,90.400002,98.760002,89.000000,91.019997,87.191315,625600
2024-08-01,92.349998,94.860001,85.320000,89.320000,85.562836,690600
2024-09-01,89.320000,101.500000,81.739998,97.800003,94.493408,490200
2024-10-01,97.660004,101.000000,93.860001,94.790001,91.585167,436300
2024-11-01,95.680000,113.040001,93.010002,109.489998,105.788155,789300
2024-12-01,110.000000,112.500000,101.250000,111.000000,108.014984,807100
2025-01-01,111.300003,113.029999,103.080002,106.000000,103.149445,656300
2025-02-01,105.500000,107.440002,96.500000,105.370003,102.536385,446100
2025-03-01,105.510002,110.000000,93.989998,103.900002,101.854118,476300
2025-04-01,104.430000,106.230003,86.830002,102.110001,101.289268,571200
2025-05-01,104.250000,104.989998,91.790001,98.000000,97.212303,427100
2025-06-01,97.059998,99.500000,92.099998,95.510002,95.510002,531400
2025-07-01,94.800003,106.989998,94.800003,105.000000,105.000000,498700
2025-07-29,106.029999,106.500000,105.250000,106.500000,106.500000,4731
